City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
120,Leningradskiy,RU,69.3833,178.4167,14.88,92,89,3.85,overcast clouds,4/20/2022 18:43
121,Sola,VU,-13.8833,167.55,75.87,100,75,0,broken clouds,4/20/2022 18:43
122,Zhangye,CN,38.9342,100.4517,52.56,15,35,7.92,scattered clouds,4/20/2022 18:43
123,Balassagyarmat,HU,48.073,19.2961,43.79,61,90,4.18,overcast clouds,4/20/2022 18:43
124,Bambous Virieux,MU,-20.3428,57.7575,77.25,88,40,3.44,scattered clouds,4/20/2022 18:43
125,Austin,US,30.2672,-97.7431,84.22,60,100,23.02,overcast clouds,4/20/2022 18:43
126,Lexington,US,37.9887,-84.4777,67.98,37,0,6.91,clear sky,4/20/2022 18:38
127,Bull Savanna,JM,17.8868,-77.5902,79.3,72,54,5.26,broken clouds,4/20/2022 18:43
128,Harer,ET,9.3094,42.1258,65.84,61,7,4.99,clear sky,4/20/2022 18:43
129,Qaanaaq,GL,77.484,-69.3632,-0.38,79,100,8.32,overcast clouds,4/20/2022 18:43
130,Coruripe,BR,-10.1256,-36.1756,82.49,63,47,9.46,scattered clouds,4/20/2022 18:43
131,Rudnogorsk,RU,57.2639,103.7519,24.01,96,100,3.96,light snow,4/20/2022 18:43
132,Port Macquarie,AU,-31.4333,152.9167,55.89,83,12,4.59,few clouds,4/20/2022 18:42
133,Porto Novo,BJ,6.4965,2.6036,84.02,79,100,7.74,overcast clouds,4/20/2022 18:43
134,Beyneu,KZ,45.3167,55.2,68.04,25,100,16.08,overcast clouds,4/20/2022 18:43
135,Khatanga,RU,71.9667,102.5,-15.34,100,100,0.63,overcast clouds,4/20/2022 18:43
136,Deputatskiy,RU,69.3,139.9,6.53,89,97,3.31,overcast clouds,4/20/2022 18:43
137,Codrington,AU,-38.2667,141.9667,56.37,76,99,7.61,overcast clouds,4/20/2022 18:41
138,Enshi,CN,30.3,109.4833,56.48,89,0,0.76,clear sky,4/20/2022 18:43
